OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.1,0.12,0.4,0.42,1.2487928867
shape,iterativefit,central,0,0.1,0.12,0.42,0.44,1.2290297747
shape,iterativefit,central,0,0.1,0.12,0.44,0.46,1.2120445967
shape,iterativefit,central,0,0.1,0.12,0.46,0.48,1.1812355518
shape,iterativefit,central,0,0.1,0.12,0.48,0.5,1.1318330765
shape,iterativefit,central,0,0.1,0.12,0.5,0.52,1.0488959551
shape,iterativefit,central,0,0.1,0.12,0.52,0.54,0.9782958627
shape,iterativefit,central,0,0.1,0.12,0.54,0.56,0.9377113581
shape,iterativefit,central,0,0.1,0.12,0.56,0.58,0.9372477531
shape,iterativefit,central,0,0.1,0.12,0.58,0.6,0.9463938475
shape,iterativefit,central,0,0.1,0.12,0.6,0.62,0.9417090416
shape,iterativefit,central,0,0.1,0.12,0.62,0.64,0.921440661
shape,iterativefit,central,0,0.1,0.12,0.64,0.66,0.9048190713
shape,iterativefit,central,0,0.1,0.12,0.66,0.68,0.8766883016
shape,iterativefit,central,0,0.1,0.12,0.68,0.7,0.9005692601
shape,iterativefit,central,0,0.1,0.12,0.7,0.72,0.9252893925
shape,iterativefit,central,0,0.1,0.12,0.72,0.74,0.9409803152
shape,iterativefit,central,0,0.1,0.12,0.74,0.76,0.9641496539
shape,iterativefit,central,0,0.1,0.12,0.76,0.78,0.9665626287
shape,iterativefit,central,0,0.1,0.12,0.78,0.8,0.9710611701
shape,iterativefit,central,0,0.1,0.12,0.8,0.82,1.0060876608
shape,iterativefit,central,0,0.1,0.12,0.82,0.84,1.0253617764
shape,iterativefit,central,0,0.1,0.12,0.84,0.86,1.025173068
shape,iterativefit,central,0,0.1,0.12,0.86,0.88,1.0533099174
shape,iterativefit,central,0,0.1,0.12,0.88,0.9,1.0814166069
shape,iterativefit,central,0,0.1,0.12,0.9,0.92,1.0745924711
shape,iterativefit,central,0,0.1,0.12,0.92,0.94,1.1310231686
shape,iterativefit,central,0,0.1,0.12,0.94,0.96,1.0968575478
shape,iterativefit,central,0,0.1,0.12,0.96,0.98,1.0968575478
shape,iterativefit,central,0,0.1,0.12,0.98,1.0,1.0968575478
shape,iterativefit,central,0,0.12,0.14,0.0,0.02,1.727502346
shape,iterativefit,central,0,0.12,0.14,0.02,0.04,1.727502346
shape,iterativefit,central,0,0.12,0.14,0.04,0.06,1.7763528824
shape,iterativefit,central,0,0.12,0.14,0.06,0.08,1.6782338619
shape,iterativefit,central,0,0.12,0.14,0.08,0.1,1.5813274384
shape,iterativefit,central,0,0.12,0.14,0.1,0.12,1.474327445
shape,iterativefit,central,0,0.12,0.14,0.12,0.14,1.3780286312
shape,iterativefit,central,0,0.12,0.14,0.14,0.16,1.3143094778
shape,iterativefit,central,0,0.12,0.14,0.16,0.18,1.2991222143
shape,iterativefit,central,0,0.12,0.14,0.18,0.2,1.3173464537
shape,iterativefit,central,0,0.12,0.14,0.2,0.22,1.3263143301
shape,iterativefit,central,0,0.12,0.14,0.22,0.24,1.3340756893
shape,iterativefit,central,0,0.12,0.14,0.24,0.26,1.3420054913
shape,iterativefit,central,0,0.12,0.14,0.26,0.28,1.3414217234
shape,iterativefit,central,0,0.12,0.14,0.28,0.3,1.3241015673
shape,iterativefit,central,0,0.12,0.14,0.3,0.32,1.3011050224
shape,iterativefit,central,0,0.12,0.14,0.32,0.34,1.2693195343
shape,iterativefit,central,0,0.12,0.14,0.34,0.36,1.2482318878
shape,iterativefit,central,0,0.12,0.14,0.36,0.38,1.2306668758
shape,iterativefit,central,0,0.12,0.14,0.38,0.4,1.1916806698
shape,iterativefit,central,0,0.12,0.14,0.4,0.42,1.1689902544
shape,iterativefit,central,0,0.12,0.14,0.42,0.44,1.1527837515
shape,iterativefit,central,0,0.12,0.14,0.44,0.46,1.1263157129
shape,iterativefit,central,0,0.12,0.14,0.46,0.48,1.0840076208
shape,iterativefit,central,0,0.12,0.14,0.48,0.5,1.0354926586
shape,iterativefit,central,0,0.12,0.14,0.5,0.52,0.9907666445
shape,iterativefit,central,0,0.12,0.14,0.52,0.54,0.9336458445
shape,iterativefit,central,0,0.12,0.14,0.54,0.56,0.8950201273
shape,iterativefit,central,0,0.12,0.14,0.56,0.58,0.8969735503
shape,iterativefit,central,0,0.12,0.14,0.58,0.6,0.9062798023
shape,iterativefit,central,0,0.12,0.14,0.6,0.62,0.9209729433
shape,iterativefit,central,0,0.12,0.14,0.62,0.64,0.9221675396
shape,iterativefit,central,0,0.12,0.14,0.64,0.66,0.9429191351
shape,iterativefit,central,0,0.12,0.14,0.66,0.68,0.9384736419
shape,iterativefit,central,0,0.12,0.14,0.68,0.7,0.9461311698
shape,iterativefit,central,0,0.12,0.14,0.7,0.72,0.9752632976
shape,iterativefit,central,0,0.12,0.14,0.72,0.74,0.9963097572
shape,iterativefit,central,0,0.12,0.14,0.74,0.76,1.0221942663
shape,iterativefit,central,0,0.12,0.14,0.76,0.78,1.0494589806
shape,iterativefit,central,0,0.12,0.14,0.78,0.8,1.0492362976
shape,iterativefit,central,0,0.12,0.14,0.8,0.82,1.0668424368
shape,iterativefit,central,0,0.12,0.14,0.82,0.84,1.0801837444
shape,iterativefit,central,0,0.12,0.14,0.84,0.86,1.0786734819
shape,iterativefit,central,0,0.12,0.14,0.86,0.88,1.1102586985
shape,iterativefit,central,0,0.12,0.14,0.88,0.9,1.1359802485
shape,iterativefit,central,0,0.12,0.14,0.9,0.92,1.1026558876
shape,iterativefit,central,0,0.12,0.14,0.92,0.94,1.1581225395
shape,iterativefit,central,0,0.12,0.14,0.94,0.96,1.0947822332
shape,iterativefit,central,0,0.12,0.14,0.96,0.98,1.0947822332
shape,iterativefit,central,0,0.12,0.14,0.98,1.0,1.0947822332
shape,iterativefit,central,0,0.14,0.16,0.0,0.02,1.727502346
shape,iterativefit,central,0,0.14,0.16,0.02,0.04,1.727502346
shape,iterativefit,central,0,0.14,0.16,0.04,0.06,1.7662670612
shape,iterativefit,central,0,0.14,0.16,0.06,0.08,1.6582393646
shape,iterativefit,central,0,0.14,0.16,0.08,0.1,1.5383770466
shape,iterativefit,central,0,0.14,0.16,0.1,0.12,1.4230084419
shape,iterativefit,central,0,0.14,0.16,0.12,0.14,1.3262277842
shape,iterativefit,central,0,0.14,0.16,0.14,0.16,1.2575107813
shape,iterativefit,central,0,0.14,0.16,0.16,0.18,1.2271677256
shape,iterativefit,central,0,0.14,0.16,0.18,0.2,1.2205295563
shape,iterativefit,central,0,0.14,0.16,0.2,0.22,1.2223291397
shape,iterativefit,central,0,0.14,0.16,0.22,0.24,1.229113698
shape,iterativefit,central,0,0.14,0.16,0.24,0.26,1.2364031076
shape,iterativefit,central,0,0.14,0.16,0.26,0.28,1.2390915155
shape,iterativefit,central,0,0.14,0.16,0.28,0.3,1.2276220322
shape,iterativefit,central,0,0.14,0.16,0.3,0.32,1.2085505724
shape,iterativefit,central,0,0.14,0.16,0.32,0.34,1.1932140589
shape,iterativefit,central,0,0.14,0.16,0.34,0.36,1.1927371025
shape,iterativefit,central,0,0.14,0.16,0.36,0.38,1.1793082952
shape,iterativefit,central,0,0.14,0.16,0.38,0.4,1.1419337988
shape,iterativefit,central,0,0.14,0.16,0.4,0.42,1.1061398983
shape,iterativefit,central,0,0.14,0.16,0.42,0.44,1.0793329477
shape,iterativefit,central,0,0.14,0.16,0.44,0.46,1.0618344545
shape,iterativefit,central,0,0.14,0.16,0.46,0.48,1.0072250366
shape,iterativefit,central,0,0.14,0.16,0.48,0.5,0.963968575
shape,iterativefit,central,0,0.14,0.16,0.5,0.52,0.9663470387
shape,iterativefit,central,0,0.14,0.16,0.52,0.54,0.9538705945
shape,iterativefit,central,0,0.14,0.16,0.54,0.56,0.9452672601
shape,iterativefit,central,0,0.14,0.16,0.56,0.58,0.941588819
shape,iterativefit,central,0,0.14,0.16,0.58,0.6,0.9395343065
shape,iterativefit,central,0,0.14,0.16,0.6,0.62,0.9375443459
shape,iterativefit,central,0,0.14,0.16,0.62,0.64,0.9523461461
shape,iterativefit,central,0,0.14,0.16,0.64,0.66,0.9705492854
shape,iterativefit,central,0,0.14,0.16,0.66,0.68,0.9862841368
