OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.913963171905
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.03238570256
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x--12.5644)*(x--12.5644)) 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.0289817+-1.18787e-07*x+-1.89502e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.0284318+-1.38544e-07*x+-1.73283e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.00563793)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.0289817+-1.18787e-07*x+-1.89502e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.0284318+-1.38544e-07*x+-1.73283e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.00563793)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x 
M,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0843237+4.86535e-06*x+-1.40918e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0833127+4.9456e-06*x+-1.43192e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0131287)) 
M,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0843237+4.86535e-06*x+-1.40918e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0833127+4.9456e-06*x+-1.43192e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0131287)) 
T,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x 
T,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.158654+0.000101332*x+-1.32546e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.155219+0.000102961*x+-1.34996e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.0335774)) 
T,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.158654+0.000101332*x+-1.32546e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.155219+0.000102961*x+-1.34996e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.0335774)) 
